dhID,chiID,unique_id,CandName,party,precinctsreporting,votecount,precinctstotal,totalvotes,precinctsreportingpct,votecount_dupage,votepct,totalvotes_dupage,precinctsreportingpct_kane,votecount_kane,votepct_kane,totalvotes_kane,precinctsreportingpct_lake,votecount_lake,votepct_lake,totalvotes_lake,precinctsreportingpct_mch,votecount_mch,votepct_mch,totalvotes_mch,precinctsreportingpct_will,votecount_will,votepct_will,totalvotes_will,precinctsreportingpct_chi,votecount_chi,votepct_chi,totalvotes_chi,precinctsreportingpct_statewide,votecount_statewide,votepct_statewide,totalvotes_statewide
1,0010001,polid-1746,Hillary Clinton,Dem,1610,264165,3668,491819,0.0,0,0.0,0,9.63,286,0.520947,549,0.0,665,0.578764,1149,0.0,0,0.0,0,0.0,0,0.0,0,0.5505074915418077,200638.0,0.5394582241043221,371925.0,16.88,266558,0.536563,496788
1,0010006,polid-1445,Bernie Sanders,Dem,1610,222879,3668,491819,0.0,0,0.0,0,9.63,261,0.47541,549,0.0,484,0.421236,1149,0.0,0,0.0,0,0.0,0,0.0,0,0.5505074915418077,167304.0,0.44983262754587616,371925.0,16.88,225396,0.453707,496788
2,0163003,polid-8639,Donald Trump,GOP,1610,48025,3668,116716,0.0,0,0.0,0,9.63,317,0.354586,894,0.0,441,0.322604,1367,0.0,0,0.0,0,0.0,0,0.0,0,0.5505074915418077,19301.0,0.40926632739609836,47160.0,16.88,51915,0.410437,126487
2,0163004,polid-61815,Ted Cruz,GOP,1610,25651,3668,116716,0.0,0,0.0,0,9.63,177,0.197987,894,0.0,291,0.212875,1367,0.0,0,0.0,0,0.0,0,0.0,0,0.5505074915418077,9898.0,0.20988125530110263,47160.0,16.88,28751,0.227304,126487
2,0163005,polid-53044,Marco Rubio,GOP,1610,12094,3668,116716,0.0,0,0.0,0,9.63,189,0.211409,894,0.0,113,0.082663,1367,0.0,0,0.0,0,0.0,0,0.0,0,0.5505074915418077,5583.0,0.11838422391857506,47160.0,16.88,12868,0.101734,126487
2,0163010,polid-36679,John Kasich,GOP,1610,28522,3668,116716,0.0,0,0.0,0,9.63,156,0.174497,894,0.0,503,0.367959,1367,0.0,0,0.0,0,0.0,0,0.0,0,0.5505074915418077,11104.0,0.2354537743850721,47160.0,16.88,30136,0.238254,126487
22,0011002,polid-51631,Tammy Duckworth,Dem,1610,271574,3668,455329,0.0,0,0.0,0,9.63,421,0.745133,565,0.0,879,0.822264,1069,0.0,0,0.0,0,0.0,0,0.0,0,0.5505074915418077,196361.0,0.5724226390893058,343035.0,16.82,274896,0.597688,459932
22,0011001,polid-64570,Andrea Zopp,Dem,1610,127951,3668,455329,0.0,0,0.0,0,9.63,101,0.178761,565,0.0,137,0.128157,1069,0.0,0,0.0,0,0.0,0,0.0,0,0.5505074915418077,105817.0,0.30847289635168423,343035.0,16.82,128821,0.280087,459932
22,0011003,polid-64571,Napoleon Harris,Dem,1610,55804,3668,455329,0.0,0,0.0,0,9.63,43,0.076106,565,0.0,53,0.049579,1069,0.0,0,0.0,0,0.0,0,0.0,0,0.5505074915418077,40857.0,0.11910446455901001,343035.0,16.82,56215,0.122225,459932
23,0164002,polid-1277,Mark Kirk,GOP,1610,74817,3668,104433,0.0,0,0.0,0,9.63,579,0.649103,892,0.0,993,0.772162,1286,0.0,0,0.0,0,0.0,0,0.0,0,0.5505074915418077,28823.0,0.7093320864300832,40634.0,16.82,80878,0.7175,112722
23,0164001,polid-64572,James Marter,GOP,1610,29616,3668,104433,0.0,0,0.0,0,9.63,313,0.350897,892,0.0,293,0.227838,1286,0.0,0,0.0,0,0.0,0,0.0,0,0.5505074915418077,11811.0,0.29066791356991684,40634.0,16.82,31844,0.2825,112722
